,0
cdr3:0A,0.2697743381901895
cdr3:0C,0.29237594856569354
cdr3:0D,0.0077754436358949425
cdr3:0E,0.0074704219794336875
cdr3:0F,0.031236624140618247
cdr3:0G,0.02156083696014292
cdr3:0H,0.00215658023583283
cdr3:0I,0.007775443635889149
cdr3:0K,0.0030498579256161185
cdr3:0L,0.014783187606887719
cdr3:0M,0.003735289166648436
cdr3:0N,0.005705695375553312
cdr3:0P,0.013466649100001902
cdr3:0Q,0.012006492887250439
cdr3:0R,0.037140239735707334
cdr3:0S,0.09623325578049076
cdr3:0T,0.019643634173480057
cdr3:0V,0.01976156904724315
cdr3:0W,0.031532418910106774
cdr3:0Y,0.0254175453437649
cdr3:0charge,0.03879761201587581
cdr3:0hydrophobicity,0.24583833751897433
cdr3:0weight,0.09684876885426018
cdr3:0sulfur,0.292356591491013
cdr3:0aromatic,0.05110360048927529
cdr3:1A,0.2697743381901895
cdr3:1C,0.29237594856569354
cdr3:1D,0.0077754436358949425
cdr3:1E,0.0074704219794336875
cdr3:1F,0.031236624140618247
cdr3:1G,0.02156083696014292
cdr3:1H,0.00215658023583283
cdr3:1I,0.007775443635889149
cdr3:1K,0.0030498579256161185
cdr3:1L,0.014783187606887719
cdr3:1M,0.003735289166648436
cdr3:1N,0.005705695375553312
cdr3:1P,0.013466649100001902
cdr3:1Q,0.012006492887250439
cdr3:1R,0.037140239735707334
cdr3:1S,0.09623325578049076
cdr3:1T,0.019643634173480057
cdr3:1V,0.01976156904724315
cdr3:1W,0.031532418910106774
cdr3:1Y,0.0254175453437649
cdr3:1charge,0.03879761201587581
cdr3:1hydrophobicity,0.24583833751897433
cdr3:1weight,0.09684876885426018
cdr3:1sulfur,0.292356591491013
cdr3:1aromatic,0.05110360048927529
cdr3:2A,0.2697743381901895
cdr3:2C,0.29237594856569354
cdr3:2D,0.0077754436358949425
cdr3:2E,0.0074704219794336875
cdr3:2F,0.031236624140618247
cdr3:2G,0.02156083696014292
cdr3:2H,0.00215658023583283
cdr3:2I,0.007775443635889149
cdr3:2K,0.0030498579256161185
cdr3:2L,0.014783187606887719
cdr3:2M,0.003735289166648436
cdr3:2N,0.005705695375553312
cdr3:2P,0.013466649100001902
cdr3:2Q,0.012006492887250439
cdr3:2R,0.037140239735707334
